,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,zipcode
0,08/27/2006,05:35:00,BRONX,52,0.0,,True,,,,25-44,F,BLACK HISPANIC,1017541.5625,255918.875,40.86905819000003,-73.87963173099998,10467
1,03/11/2011,12:03:00,QUEENS,106,0.0,,False,,,,65+,M,WHITE,1027543.0,186095.0,40.677366895000034,-73.84392019199998,11417
2,10/06/2019,01:09:00,BROOKLYN,77,0.0,,False,,,,18-24,F,BLACK,995325.0,185155.0,40.674885741000026,-73.96007501899999,11238
3,09/04/2011,03:35:00,BRONX,40,0.0,,False,,,,<18,M,BLACK,1007453.0,233952.0,40.80879780500004,-73.91618413199996,10454
4,05/27/2013,21:16:00,QUEENS,100,0.0,,False,,,,18-24,M,BLACK,1041267.375,157133.515625,40.597796249000055,-73.79468553799995,11692
5,09/01/2013,04:17:00,BROOKLYN,67,0.0,,False,,,,<18,M,BLACK,1001693.9375,170112.890625,40.63358818100005,-73.93715330699996,11210
6,06/05/2010,21:16:00,BROOKLYN,77,0.0,,False,,,,<18,M,BLACK,1001506.75,184055.65625,40.67185839800004,-73.93779204599997,11233
7,03/20/2020,21:27:00,BROOKLYN,81,0.0,,False,,,,25-44,M,BLACK,1001586.375,189839.03125,40.68773229400006,-73.93749012499995,11221
8,07/04/2014,00:25:00,QUEENS,101,0.0,,False,,,,18-24,M,BLACK,1051520.375,155790.40625,40.59403780700006,-73.757778692,11691
9,10/18/2015,01:33:00,QUEENS,106,0.0,,False,,,,18-24,M,BLACK,1038231.3125,184701.421875,40.67348312300004,-73.80539763499996,11420
10,12/26/2011,03:00:00,BROOKLYN,71,0.0,,False,,,,<18,F,BLACK,995908.0,183618.0,40.67066627200006,-73.95797590799998,11225
11,07/09/2018,19:35:00,BRONX,44,0.0,,True,,,,45-64,M,BLACK,1007096.0,242091.0,40.83113799000006,-73.91744603199999,10456
12,03/31/2008,22:00:00,QUEENS,113,0.0,,True,,,,25-44,M,BLACK,1049991.375,194715.125,40.70088882800008,-73.76290483399998,11412
13,06/27/2020,00:35:00,BROOKLYN,69,0.0,,False,,,,25-44,M,BLACK,1012270.375,172117.640625,40.639063650000026,-73.89903954399993,11236
14,11/25/2012,01:20:00,BRONX,46,0.0,,False,,,,25-44,M,BLACK,1011263.6875,251671.5,40.85742187900007,-73.90234725599998,10453
15,09/18/2006,03:30:00,BROOKLYN,69,0.0,,False,,,,18-24,M,BLACK,1009296.9375,170104.40625,40.63354665900005,-73.90976077999994,11236
16,06/12/2014,08:56:00,BROOKLYN,73,2.0,,False,,,,45-64,M,BLACK,1009968.25,182502.453125,40.66757466800004,-73.90729486299993,11212
17,05/31/2007,21:50:00,BRONX,47,0.0,,True,18-24,M,BLACK,25-44,M,BLACK,1021856.3125,259362.546875,40.87849267400002,-73.86401191799996,10467
18,02/19/2008,10:49:00,QUEENS,106,0.0,,True,,,,18-24,M,BLACK,1037371.5,188229.5625,40.68317225000004,-73.80846945899998,11420
19,03/23/2008,05:11:00,QUEENS,103,0.0,,True,,,,25-44,M,BLACK,1042297.5625,192834.703125,40.69578133400006,-73.79066870299994,11433
20,06/09/2017,23:18:00,QUEENS,113,0.0,,False,,,,25-44,M,BLACK,1045670.0625,193206.921875,40.69678022300008,-73.77850335499994,11433
21,05/16/2012,22:10:00,BRONX,46,0.0,,False,,,,18-24,M,BLACK HISPANIC,1006593.1875,247400.640625,40.84571269500003,-73.91924528699997,10452
22,09/28/2018,02:32:00,QUEENS,113,0.0,,False,,,,25-44,M,BLACK,1046199.375,189795.8125,40.687413854000056,-73.77662588099997,11434
23,11/01/2020,01:40:00,BRONX,49,0.0,,True,,,,25-44,M,BLACK,1021917.375,251014.53125,40.85557967300008,-73.86383803099993,10462
